"Label Name","Catalog #",UPC,"Release Name","Release Version","Release Artist","Release Date","Release Genre","Release Subgenre",Track,ISRC,"Song Name","Mix Version","Primary Artists","Featuring Artists",Remixers,"Track Length","Song Genre","Song Subgenre"
"Doubtless Productions",CAT1800942,824296535141,"At My Door",,Taye,2026-06-19,"Hip Hop/Rap","Hip Hop/Rap",1,GBRKQ2682928,"His Dreams",,Taye,,,02:32,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",CAT1800942,824296535141,"At My Door",,Taye,2026-06-19,"Hip Hop/Rap","Hip Hop/Rap",2,GBRKQ2682932,Mess,,Taye,,,03:48,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",CAT1800942,824296535141,"At My Door",,Taye,2026-06-19,"Hip Hop/Rap","Hip Hop/Rap",3,GBRKQ2682937,"On and Off",,Taye,,,04:36,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",CAT1800942,824296535141,"At My Door",,Taye,2026-06-19,"Hip Hop/Rap","Hip Hop/Rap",4,GBRKQ2682961,"Better For You",,Taye,,,04:55,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",CAT1800942,824296535141,"At My Door",,Taye,2026-06-19,"Hip Hop/Rap","Hip Hop/Rap",5,GBRKQ2682995,"Don't Breathe In",,Taye,,,04:40,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",CAT1800942,824296535141,"At My Door",,Taye,2026-06-19,"Hip Hop/Rap","Hip Hop/Rap",6,GBRKQ2683000,"She Loves Me /For the Best",,Taye,,,07:34,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",CAT1800942,824296535141,"At My Door",,Taye,2026-06-19,"Hip Hop/Rap","Hip Hop/Rap",7,GBRKQ2683005,"Smiley Face",,Taye,,,04:55,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",CAT1800942,824296535141,"At My Door",,Taye,2026-06-19,"Hip Hop/Rap","Hip Hop/Rap",8,GBRKQ2683028,"At My Door",,Taye,,,04:04,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",CAT1800942,824296535141,"At My Door",,Taye,2026-06-19,"Hip Hop/Rap","Hip Hop/Rap",9,GBRKQ2683033,"Luv Me",,Taye,,,02:42,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",CAT1800942,824296535141,"At My Door",,Taye,2026-06-19,"Hip Hop/Rap","Hip Hop/Rap",10,GBRKQ2683038,"Mary Ave/understand me interlude",,Taye,Wonga,,06:04,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",CAT1800942,824296535141,"At My Door",,Taye,2026-06-19,"Hip Hop/Rap","Hip Hop/Rap",11,GBRKQ2683043,Reserved,,Taye,,,05:35,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",CAT1800942,824296535141,"At My Door",,Taye,2026-06-19,"Hip Hop/Rap","Hip Hop/Rap",12,GBRKQ2683045,Her,,Taye,,,01:58,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",CAT1800942,824296535141,"At My Door",,Taye,2026-06-19,"Hip Hop/Rap","Hip Hop/Rap",13,GBRKQ2683047,"I Thought",,Taye,,,04:24,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",CAT1787488,824296443989,Fast,,Periscope,2026-05-29,Instrumental,Instrumental,1,GBRKQ2663149,Fast,,Periscope,,,01:11,Instrumental,Instrumental
"Doubtless Productions",CAT1754083,824296238813,Mess,,Taye,2026-05-22,"Hip Hop/Rap","Hip Hop/Rap",1,GBRKQ2611168,Mess,,Taye,,,03:48,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",VIDCAT13969,824296501917,"At My Door",,Taye,2026-05-21,"Hip Hop/Rap","Hip Hop/Rap",1,GBRKQ2675668,"At My Door",,Taye,,,,"Hip Hop/Rap","Hip Hop/Rap"
"Doubtless Productions",CAT1753932,824296238783,"At My Door",,Taye,2026-05-08,"Hip Hop/Rap","Alternative Rap",1,GBRKQ2611128,"At My Door",,Taye,,,04:04,"Hip Hop/Rap","Alternative Rap"
"Doubtless Productions",CAT1691042,199891832293,nightlights,,Periscope,2026-05-01,Instrumental,Instrumental,1,USLZJ2617514,nightlights,,Periscope,,,01:20,Instrumental,Instrumental
"Doubtless Productions",CAT1680941,199891823420,Repentance,,"Lyrical forge",2026-04-03,"Christian & Gospel","Christian Rap",1,USLZJ2615337,Repentance,,"Lyrical forge","Jesse Quintana",,03:12,"Christian & Gospel","Christian Rap"
